INCIDENT_DATE,INCIDENT_NUMBER,LOCATION_DISTRICT,OFFENSE_CODE,OFFENSE_DESCRIPTION,WEAPON_TYPE,INCIDENT_LOCATION,CITY,STATE,ZIP,LATITUDE,LONGITUDE,Location 1
8/12/17 14:00,2017-098973,52,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,BLUNT OBJECT,524 W 24TH ST,LITTLE ROCK,AR,72206,34.725678,-92.279094,"(34.725678, -92.279094)"
5/8/17 0:01,2017-053092,52,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,2510 S ARCH ST,LITTLE ROCK,AR,72206,34.724036,-92.280103,"(34.724036, -92.280103)"
8/16/19 2:32,2019-102489,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,5020 W 31ST ST,LITTLE ROCK,AR,72204,34.724003,-92.330784,"(34.724003, -92.330784)"
7/25/21 1:10,2021-088060,61,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,MOTOR VEHICLE,1401 JOHN BARROW RD,LITTLE ROCK,AR,72204,34.739988,-92.371979,"(34.739988, -92.371979)"
5/8/18 21:30,2018-055048,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,4204 W 24TH ST,LITTLE ROCK,AR,72204,34.72968,-92.320827,"(34.72968, -92.320827)"
1/4/19 10:10,2019-001502,52,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,RIFLE,1500 W ROOSEVELT RD,LITTLE ROCK,AR,72206,34.725128,-92.289928,"(34.725128, -92.289928)"
4/13/18 1:47,2018-043369,52,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,700 W 26TH ST,LITTLE ROCK,AR,72206,34.723562,-92.28133,"(34.723562, -92.28133)"
12/13/21 18:15,2021-152160,55,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,1102 S WOODROW ST,LITTLE ROCK,AR,72204,34.740616,-92.305986,"(34.740616, -92.305986)"
12/26/20 15:58,2020-148867,61,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,2723 LONGCOY ST,LITTLE ROCK,AR,72204,34.728054,-92.371453,"(34.728054, -92.371453)"
6/13/19 14:00,2019-072596,54,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,4616 PRINCETON DR,LITTLE ROCK,AR,72204,34.736326,-92.325895,"(34.736326, -92.325895)"
